    index  _id  year  month    country        purpose    money
0       0    1  2022      4    Belgium        Holiday   5060.2
1       1    2  2003     11     Sweden       Business   4856.8
2       2    3  2011      2      Congo        Holiday   3934.6
3       3    4  2003      7  Australia  Miscellaneous   4171.4
4       4    5  2007      6    Georgia       Business   4710.9
5       5    6  2021      3     France  Miscellaneous   3994.3
6       6    7  2016      1         UK        Holiday   5982.1
7       7    8  2001     10   Colombia       Business   4952.9
8       8    9  2009      8  Singapore            VFR   9252.7
9       9   10  2018      5      Egypt  Miscellaneous   6370.1
10     10   11  2021     12     Canada       Business  13004.6
11     11   12  2022      8    Germany            VFR   8736.5
12     12   13  2004      9     Russia        Holiday  24230.8
13     13   14  2005      1    Croatia       Business  10035.2
14     14   15  2008      7        USA            VFR  23446.5
15     15   16  2018     12     Mexico  Miscellaneous  11288.2
16     16   17  2014      8  Argentina        Holiday  22297.5
17     17   18  2006      1      China            VFR  11940.6
18     18   19  2019      5    Belarus        Holiday  21734.3
19     19   20  2022      2     Greece            VFR  12644.4
